queue_4_rank,institution_or_system_name,city,state,candidate_type,why_selected,known_prior_status,source_lead,expected_yield,audience_hypothesis,risk,screening_priority,required_first_search_terms,do_not_claim,notes
1,Providence Alaska Medical Center,Anchorage,AK,STATE_GAP_FILL,AK is a zero-coverage state in the high-yield master,NEW,providence.org/locations/ak/providence-alaska-medical-center,MEDIUM,US_MD_DO,Likely no visiting-MS program documented; Alaska geographic isolation,P0_FOR_STATE_GAP,"providence alaska medical center visiting medical student elective",guaranteed; IMG-friendly,Largest hospital in Alaska
2,Alaska Native Medical Center,Anchorage,AK,STATE_GAP_FILL,AK zero-coverage; tribal health system; Alaska-specific population,NEW,anmc.org,LOW_TO_MEDIUM,US_MD_DO,Often closed/named-partner only; tribal jurisdiction,P0_FOR_STATE_GAP,"alaska native medical center elective visiting student",guaranteed; broad IMG access,Tribal Indian Health Service site
3,Saint Alphonsus Regional Medical Center,Boise,ID,STATE_GAP_FILL,ID is zero-coverage; Saint Alphonsus is the largest healthcare system in Idaho,NEW,saintalphonsus.org,MEDIUM,US_MD_DO,Possible Trinity Health affiliate; visiting-MS program may be unwritten,P0_FOR_STATE_GAP,"saint alphonsus medical school students elective",guaranteed,Catholic-affiliated
4,University of Idaho WAMI Medical Education Program,Moscow,ID,STATE_GAP_FILL_MEDICAL_SCHOOL_UME,ID has no in-state allopathic school; WAMI delivers MD via University of Washington partnership,NEW,uidaho.edu/cogs/programs/wwami,LOW,Multi-state UME,Limited per-site detail,P1_FOR_STATE_GAP,"WWAMI Idaho visiting medical student",IMG-friendly; broad audience,Distributed program
5,Billings Clinic,Billings,MT,STATE_GAP_FILL,MT zero-coverage; Billings Clinic is Montana's largest hospital,NEW,billingsclinic.com,MEDIUM,US_MD_DO,Site may be VSLO-only,P0_FOR_STATE_GAP,"billings clinic visiting medical student elective",guaranteed; IMG-friendly,Mayo Clinic Care Network member
6,Saint Vincent Healthcare,Billings,MT,STATE_GAP_FILL,MT zero-coverage; second major Montana hospital,NEW,svh-mt.org,LOW_TO_MEDIUM,US_MD_DO,SCL Health system,P0_FOR_STATE_GAP,"saint vincent healthcare montana medical student elective",guaranteed,
7,Wyoming Medical Center,Casper,WY,STATE_GAP_FILL,WY zero-coverage; the major hospital in Casper,NEW,wyomingmedicalcenter.org,LOW_TO_MEDIUM,US_MD_DO,Likely community-only,P0_FOR_STATE_GAP,"wyoming medical center visiting medical student elective",guaranteed; IMG-friendly,
8,Cheyenne Regional Medical Center,Cheyenne,WY,STATE_GAP_FILL,WY zero-coverage; major Cheyenne hospital,NEW,cheyenneregional.org,LOW_TO_MEDIUM,US_MD_DO,Family Medicine residency exists,P0_FOR_STATE_GAP,"cheyenne regional medical center elective medical student",guaranteed,
9,University of Vermont Medical Center,Burlington,VT,STATE_GAP_FILL_THIN,VT thin (1 row),NEW,uvmhealth.org,MEDIUM,MIXED,Robins MS / Larner SOM affiliated,P1_FOR_STATE_GAP,"UVM medical center visiting medical student elective",guaranteed; IMG-friendly,
10,Dartmouth Hitchcock Medical Center,Lebanon,NH,STATE_GAP_FILL_THIN,NH thin (1 row),NEW,dartmouth-hitchcock.org,MEDIUM,MIXED,Dartmouth Geisel affiliate,P1_FOR_STATE_GAP,"dartmouth hitchcock visiting student elective",guaranteed,
11,Sanford Health Fargo,Fargo,ND,STATE_GAP_FILL_THIN,ND thin (1 row),NEW,sanfordhealth.org,LOW_TO_MEDIUM,US_MD_DO,UND SMHS affiliate,P1_FOR_STATE_GAP,"sanford fargo visiting medical student elective",guaranteed,
12,Altru Health System,Grand Forks,ND,STATE_GAP_FILL_THIN,ND thin (1 row),NEW,altru.org,LOW,US_MD_DO,Community focus,P2_FOR_STATE_GAP,"altru visiting medical student elective",guaranteed,
13,Sanford USD Medical Center,Sioux Falls,SD,STATE_GAP_FILL_THIN,SD thin (1 row),NEW,sanfordhealth.org,LOW_TO_MEDIUM,US_MD_DO,USD Sanford SOM affiliate,P1_FOR_STATE_GAP,"sanford USD visiting student elective",guaranteed,
14,Avera McKennan Hospital and University Health Center,Sioux Falls,SD,STATE_GAP_FILL_THIN,SD thin (1 row),NEW,avera.org,LOW_TO_MEDIUM,US_MD_DO,,P2_FOR_STATE_GAP,"avera mckennan visiting student elective",guaranteed,
15,Nebraska Medicine,Omaha,NE,STATE_GAP_FILL_THIN,NE thin (1 row),NEW,nebraskamed.com,MEDIUM,MIXED,UNMC affiliate,P1_FOR_STATE_GAP,"nebraska medicine visiting medical student elective",guaranteed,
16,CHI Health Creighton University Medical Center - Bergan Mercy,Omaha,NE,STATE_GAP_FILL_THIN,NE thin (1 row),NEW,chihealth.com,LOW_TO_MEDIUM,MIXED,Creighton SOM affiliate,P2_FOR_STATE_GAP,"CHI Bergan Mercy visiting student elective",guaranteed,
17,Oregon Health and Science University Hospital,Portland,OR,STATE_GAP_FILL_THIN,OR thin (1 row); OHSU is the major OR AMC,NEW,ohsu.edu,HIGH,MIXED,OHSU has visiting student documentation,P0_FOR_STATE_GAP,"OHSU visiting medical student elective international",guaranteed; broad IMG,
18,Legacy Emanuel Medical Center,Portland,OR,STATE_GAP_FILL_THIN,OR thin (1 row),NEW,legacyhealth.org,LOW_TO_MEDIUM,US_MD_DO,,P2_FOR_STATE_GAP,"legacy emanuel visiting medical student",guaranteed,
19,University of New Mexico Hospital,Albuquerque,NM,STATE_GAP_FILL_THIN,NM thin (1 row); UNM HSC,NEW,hsc.unm.edu,MEDIUM,MIXED,UNM SOM affiliate,P1_FOR_STATE_GAP,"UNM hospital visiting student elective IMG",guaranteed,
20,Presbyterian Hospital,Albuquerque,NM,STATE_GAP_FILL_THIN,NM thin (1 row),NEW,phs.org,LOW_TO_MEDIUM,US_MD_DO,,P2_FOR_STATE_GAP,"presbyterian hospital albuquerque visiting medical student",guaranteed,
21,Intermountain Medical Center,Murray,UT,STATE_GAP_FILL_THIN,UT thin (1 row),NEW,intermountainhealthcare.org,MEDIUM,US_MD_DO,Intermountain HC,P1_FOR_STATE_GAP,"intermountain medical center visiting student elective",guaranteed,
22,University of Utah Hospital,Salt Lake City,UT,STATE_GAP_FILL_THIN,UT thin (1 row); U-Utah AMC,NEW,healthcare.utah.edu,HIGH,MIXED,U-Utah SOM affiliate,P0_FOR_STATE_GAP,"university of utah hospital visiting medical student international",guaranteed; broad IMG,
23,UCHealth University of Colorado Hospital,Aurora,CO,STATE_GAP_FILL_THIN,CO thin (1 row); CU SOM AMC,NEW,uchealth.org,HIGH,MIXED,CU SOM affiliate,P0_FOR_STATE_GAP,"UCHealth visiting medical student elective",guaranteed,
24,Denver Health Medical Center,Denver,CO,STATE_GAP_FILL_THIN_PUBLIC,CO thin; major safety-net public hospital,NEW,denverhealth.org,MEDIUM,MIXED,IMG-relevant safety-net,P0_FOR_STATE_GAP,"denver health visiting student elective",guaranteed,
25,University of Iowa Hospitals and Clinics,Iowa City,IA,STATE_GAP_FILL_THIN,IA thin (2 rows),NEW,uihc.org,HIGH,MIXED,U-Iowa Carver SOM affiliate,P1_FOR_STATE_GAP,"UIHC visiting medical student elective",guaranteed,
26,UAMS Medical Center,Little Rock,AR,STATE_GAP_FILL_THIN,AR thin (1 row); UAMS AMC,NEW,uams.edu,MEDIUM,US_MD_DO,UAMS COM affiliate,P1_FOR_STATE_GAP,"UAMS medical center visiting student elective",guaranteed,
27,University of Alabama at Birmingham Hospital,Birmingham,AL,STATE_GAP_FILL_THIN,AL thin (2 rows); UAB AMC,NEW,uabmedicine.org,HIGH,MIXED,UAB SOM affiliate,P1_FOR_STATE_GAP,"UAB hospital visiting medical student international",guaranteed,
28,MedStar Washington Hospital Center,Washington,DC,STATE_GAP_FILL_THIN,DC thin (1 row); largest hospital in DC,NEW,medstarwashington.org,MEDIUM,US_MD_DO,Georgetown affiliate,P1_FOR_STATE_GAP,"MedStar Washington hospital visiting student",guaranteed,
29,George Washington University Hospital,Washington,DC,STATE_GAP_FILL_THIN,DC thin (1 row); GW SMHS AMC,NEW,gwhospital.com,MEDIUM,MIXED,GW SMHS affiliate,P1_FOR_STATE_GAP,"GW hospital visiting student elective",guaranteed,
30,Howard University Hospital,Washington,DC,STATE_GAP_FILL_THIN,DC thin; HBCU AMC,NEW,huhealthcare.com,LOW_TO_MEDIUM,MIXED,Howard COM affiliate,P2_FOR_STATE_GAP,"howard university hospital visiting student",guaranteed,
31,UCSF Medical Center,San Francisco,CA,ACADEMIC_MEDICAL_CENTER,Major AMC missing from queues; CA depth issue,NEW,ucsfhealth.org,HIGH,MIXED,UCSF SOM affiliate,P0_AMC_GAP,"UCSF visiting medical student elective international",guaranteed,
32,UCLA Ronald Reagan Medical Center,Los Angeles,CA,ACADEMIC_MEDICAL_CENTER,Major AMC; CA depth,NEW,uclahealth.org,HIGH,MIXED,UCLA Geffen SOM affiliate,P0_AMC_GAP,"UCLA visiting medical student elective",guaranteed,
33,UC San Diego Health,La Jolla,CA,ACADEMIC_MEDICAL_CENTER,Major AMC; CA depth,NEW,health.ucsd.edu,HIGH,MIXED,UCSD SOM affiliate,P1_AMC_GAP,"UCSD visiting medical student elective",guaranteed,
34,UC Davis Medical Center,Sacramento,CA,ACADEMIC_MEDICAL_CENTER,Major AMC; CA depth,NEW,health.ucdavis.edu,MEDIUM_HIGH,MIXED,UC Davis SOM affiliate,P1_AMC_GAP,"UC Davis visiting medical student elective",guaranteed,
35,Stanford Health Care,Stanford,CA,ACADEMIC_MEDICAL_CENTER,Major AMC; CA depth,NEW,stanfordhealthcare.org,HIGH,MIXED,Stanford SOM affiliate,P0_AMC_GAP,"stanford visiting medical student elective international",guaranteed,
36,Keck Hospital of USC,Los Angeles,CA,ACADEMIC_MEDICAL_CENTER,Major AMC; CA depth,NEW,keckmedicine.org,MEDIUM_HIGH,MIXED,USC Keck SOM affiliate,P1_AMC_GAP,"keck USC visiting medical student elective",guaranteed,
37,Vanderbilt University Medical Center,Nashville,TN,ACADEMIC_MEDICAL_CENTER,Major AMC; TN depth,NEW,vanderbilthealth.com,HIGH,MIXED,Vanderbilt SOM affiliate,P0_AMC_GAP,"vanderbilt visiting medical student elective international",guaranteed,
38,Barnes-Jewish Hospital / Washington University,Saint Louis,MO,ACADEMIC_MEDICAL_CENTER,Major AMC; MO depth,NEW,barnesjewish.org,HIGH,MIXED,WashU SOM affiliate,P0_AMC_GAP,"barnes jewish washington university visiting medical student elective",guaranteed,
39,Emory University Hospital,Atlanta,GA,ACADEMIC_MEDICAL_CENTER,Major AMC; GA depth,NEW,emoryhealthcare.org,HIGH,MIXED,Emory SOM affiliate,P1_AMC_GAP,"emory visiting medical student elective",guaranteed,
40,Michigan Medicine - University Hospital,Ann Arbor,MI,ACADEMIC_MEDICAL_CENTER,Major AMC; MI depth,NEW,uofmhealth.org,HIGH,MIXED,U-Michigan SOM affiliate,P0_AMC_GAP,"michigan medicine visiting medical student elective",guaranteed,
41,UPMC Presbyterian (system index),Pittsburgh,PA,ACADEMIC_MEDICAL_CENTER,Sibling expansion of UPMC system; system-index page,NEW,upmc.com/locations/hospitals/presbyterian,HIGH,MIXED,UPMC system core,P0_SIBLING_EXPANSION,"UPMC Presbyterian visiting medical student elective",guaranteed,
42,Boston Medical Center,Boston,MA,PUBLIC_HOSPITAL_SYSTEM,IMG-relevant safety-net AMC; BU SOM affiliate,NEW,bmc.org,HIGH,MIXED,BU SOM affiliate,P0_AMC_GAP,"boston medical center visiting medical student elective",guaranteed,
43,Bellevue Hospital - NYC H+H,New York,NY,PUBLIC_HOSPITAL_SYSTEM,IMG-relevant safety-net; NYU affiliate; system sibling of Lincoln (Batch 3),NEW,nychealthandhospitals.org/bellevue,HIGH,MIXED,NYU SOM rotation site via NYC H+H,P0_PUBLIC_SAFETY_NET,"NYC H+H Bellevue visiting medical student",guaranteed,
44,LAC+USC Medical Center,Los Angeles,CA,PUBLIC_HOSPITAL_SYSTEM,Major LA county safety-net; USC affiliate,NEW,dhs.lacounty.gov,HIGH,MIXED,Keck USC + Charles Drew affiliate,P0_PUBLIC_SAFETY_NET,"LAC USC visiting medical student elective IMG",guaranteed,
45,Cook County Health (Stroger Hospital),Chicago,IL,PUBLIC_HOSPITAL_SYSTEM,Major Chicago safety-net,NEW,cookcountyhealth.org,MEDIUM_HIGH,MIXED,Rush + UIC + Northwestern rotation site,P0_PUBLIC_SAFETY_NET,"cook county health stroger visiting medical student",guaranteed,
46,Parkland Health,Dallas,TX,PUBLIC_HOSPITAL_SYSTEM,Major Dallas safety-net; UTSW affiliate,NEW,parklandhealth.org,HIGH,MIXED,UT Southwestern rotation site,P0_PUBLIC_SAFETY_NET,"parkland health visiting medical student elective",guaranteed,
47,Harborview Medical Center,Seattle,WA,PUBLIC_HOSPITAL_SYSTEM,Major PNW safety-net AMC; UW affiliate,NEW,uwmedicine.org/locations/harborview,HIGH,MIXED,UW SOM affiliate,P0_PUBLIC_SAFETY_NET,"harborview visiting medical student elective",guaranteed,
48,Zuckerberg San Francisco General Hospital,San Francisco,CA,PUBLIC_HOSPITAL_SYSTEM,Major SF safety-net; UCSF affiliate,NEW,zuckerbergsanfranciscogeneral.org,MEDIUM_HIGH,MIXED,UCSF rotation site,P0_PUBLIC_SAFETY_NET,"ZSFG visiting medical student elective",guaranteed,
49,Brigham and Womens Hospital,Boston,MA,ACADEMIC_MEDICAL_CENTER,MGB system sibling; HMS affiliate,NEW,brighamandwomens.org,HIGH,MIXED,Mass General Brigham,P0_AMC_GAP,"brigham womens visiting medical student elective",guaranteed,
50,Massachusetts General Hospital,Boston,MA,ACADEMIC_MEDICAL_CENTER,MGB system core; HMS affiliate,NEW,massgeneral.org,HIGH,MIXED,Mass General Brigham,P0_AMC_GAP,"MGH visiting medical student elective",guaranteed,
51,Tufts Medical Center,Boston,MA,ACADEMIC_MEDICAL_CENTER,Tufts SOM affiliate; MA depth,NEW,tuftsmedicalcenter.org,MEDIUM_HIGH,MIXED,Tufts SOM affiliate,P1_AMC_GAP,"tufts medical center visiting student elective",guaranteed,
52,Beth Israel Deaconess Medical Center,Boston,MA,ACADEMIC_MEDICAL_CENTER,HMS affiliate; Beth Israel Lahey,NEW,bidmc.org,HIGH,MIXED,HMS affiliate,P1_AMC_GAP,"beth israel deaconess visiting medical student elective",guaranteed,
53,University of Chicago Medicine,Chicago,IL,ACADEMIC_MEDICAL_CENTER,Pritzker SOM affiliate,NEW,uchicagomedicine.org,HIGH,MIXED,UChicago Pritzker SOM,P1_AMC_GAP,"UChicago Pritzker visiting medical student elective",guaranteed,
54,Rush University Medical Center,Chicago,IL,ACADEMIC_MEDICAL_CENTER,Rush SOM affiliate; Chicago depth,NEW,rush.edu,MEDIUM_HIGH,MIXED,Rush SOM,P1_AMC_GAP,"rush visiting medical student elective",guaranteed,
55,University of Pittsburgh Medical Center - Children's Hospital of Pittsburgh,Pittsburgh,PA,SYSTEM_SIBLING_EXPANSION,UPMC sibling; pediatric AMC,NEW,upmc.com/locations/hospitals/childrens,MEDIUM_HIGH,MIXED,UPMC pediatric core,P1_SIBLING_EXPANSION,"UPMC Children's visiting medical student",guaranteed,
56,Geisinger Medical Center,Danville,PA,ACADEMIC_MEDICAL_CENTER,PA depth; Geisinger Commonwealth SOM affiliate,NEW,geisinger.org,MEDIUM_HIGH,MIXED,Geisinger SOM,P1_AMC_GAP,"geisinger visiting medical student elective",guaranteed,
57,Penn State Health Hershey Medical Center,Hershey,PA,ACADEMIC_MEDICAL_CENTER,PA depth; Penn State COM affiliate,NEW,pennstatehealth.org,MEDIUM_HIGH,MIXED,Penn State COM,P1_AMC_GAP,"penn state hershey visiting medical student elective",guaranteed,
58,Henry Ford Hospital,Detroit,MI,ACADEMIC_MEDICAL_CENTER,MI depth; HFH multispecialty,NEW,henryford.com,MEDIUM_HIGH,MIXED,HFH affiliate sites,P1_AMC_GAP,"henry ford visiting medical student elective",guaranteed,
59,Detroit Medical Center / Wayne State,Detroit,MI,ACADEMIC_MEDICAL_CENTER,MI depth; WSU SOM affiliate,NEW,dmc.org,MEDIUM_HIGH,MIXED,WSU SOM,P1_AMC_GAP,"DMC wayne state visiting medical student elective",guaranteed,
60,Beaumont Hospital - Royal Oak,Royal Oak,MI,ACADEMIC_MEDICAL_CENTER,MI depth; OUWB SOM affiliate,NEW,beaumont.org,MEDIUM,US_MD_DO,Beaumont/OUWB,P1_AMC_GAP,"beaumont royal oak visiting medical student elective",guaranteed,
61,Indiana University Health University Hospital,Indianapolis,IN,SYSTEM_SIBLING_EXPANSION,IU Methodist is in 25-row ready set; IU University Hospital is sibling,NEW,iuhealth.org/find-locations/iu-health-university-hospital,HIGH,MIXED,IU SOM affiliate,P1_SIBLING_EXPANSION,"IU university hospital visiting medical student",guaranteed,
62,Indiana University Health Riley Hospital for Children,Indianapolis,IN,SYSTEM_SIBLING_EXPANSION,IU pediatric AMC; sibling expansion,NEW,rileychildrens.org,MEDIUM,US_MD_DO,IU SOM affiliate,P2_SIBLING_EXPANSION,"riley children's IU visiting medical student",guaranteed,
63,UC Health West Chester Hospital,West Chester,OH,SYSTEM_SIBLING_EXPANSION,U-Cincinnati system sibling; OH depth,NEW,uchealth.com,LOW_TO_MEDIUM,US_MD_DO,UC affiliate,P2_SIBLING_EXPANSION,"UC health west chester visiting medical student",guaranteed,
64,The Christ Hospital,Cincinnati,OH,SYSTEM_SIBLING_EXPANSION,OH depth,NEW,thechristhospital.com,LOW_TO_MEDIUM,US_MD_DO,Cincinnati metro,P2_SIBLING_EXPANSION,"christ hospital cincinnati visiting medical student",guaranteed,
65,Jefferson Health - Thomas Jefferson University Hospital East Campus,Philadelphia,PA,SYSTEM_SIBLING_EXPANSION,Jefferson sibling; TJUH was rejected (10-named-partner); East Campus may differ,NEW,jeffersonhealth.org,LOW_TO_MEDIUM,MIXED,Jefferson Methodist affiliate,P2_SIBLING_EXPANSION,"thomas jefferson east visiting medical student elective",guaranteed,
66,Northwell Health - North Shore University Hospital,Manhasset,NY,PUBLIC_HOSPITAL_SYSTEM,NY system; Long Island depth,NEW,northwell.edu,MEDIUM_HIGH,MIXED,Hofstra Northwell SOM,P1_SIBLING_EXPANSION,"northwell north shore visiting medical student elective",guaranteed,
67,Long Island Jewish Medical Center - Northwell,New Hyde Park,NY,SYSTEM_SIBLING_EXPANSION,Northwell flagship,NEW,northwell.edu,MEDIUM_HIGH,MIXED,Hofstra Northwell SOM,P1_SIBLING_EXPANSION,"long island jewish visiting medical student",guaranteed,
68,Maimonides Medical Center,Brooklyn,NY,PUBLIC_HOSPITAL_SYSTEM,Brooklyn safety-net AMC,NEW,maimonidesmed.org,MEDIUM_HIGH,MIXED,SUNY Downstate rotation site,P0_PUBLIC_SAFETY_NET,"maimonides visiting medical student elective IMG",guaranteed,
69,SUNY Downstate Medical Center / University Hospital of Brooklyn,Brooklyn,NY,ACADEMIC_MEDICAL_CENTER,Brooklyn AMC,NEW,downstate.edu,MEDIUM_HIGH,MIXED,SUNY Downstate SOM affiliate,P1_AMC_GAP,"SUNY downstate visiting medical student",guaranteed,
70,Brooklyn Hospital Center,Brooklyn,NY,PUBLIC_HOSPITAL_SYSTEM,Brooklyn safety-net,NEW,tbh.org,LOW_TO_MEDIUM,MIXED,IMG-relevant likely,P1_PUBLIC_SAFETY_NET,"brooklyn hospital center visiting medical student",guaranteed,
71,Northwell Health - Staten Island University Hospital,Staten Island,NY,SYSTEM_SIBLING_EXPANSION,Northwell SI,NEW,northwell.edu,LOW_TO_MEDIUM,US_MD_DO,Hofstra Northwell SOM,P2_SIBLING_EXPANSION,"staten island university hospital visiting medical student",guaranteed,
72,Memorial Sloan Kettering Cancer Center,New York,NY,ACADEMIC_MEDICAL_CENTER,Specialty AMC; oncology elective,NEW,mskcc.org,HIGH,MIXED,MSK has explicit visiting-student program,P0_AMC_GAP,"MSKCC visiting medical student elective international",guaranteed,
73,Hospital for Special Surgery,New York,NY,ACADEMIC_MEDICAL_CENTER,Specialty AMC; orthopedic elective,NEW,hss.edu,MEDIUM_HIGH,MIXED,HSS has visiting-student rotations,P1_AMC_GAP,"hospital for special surgery visiting medical student",guaranteed,
74,Yale-New Haven Children's Hospital,New Haven,CT,SYSTEM_SIBLING_EXPANSION,Yale sibling; pediatric,NEW,ynhh.org/childrens,MEDIUM,MIXED,Yale SOM affiliate,P1_SIBLING_EXPANSION,"yale new haven children's visiting medical student",guaranteed,
75,Hartford Hospital,Hartford,CT,PUBLIC_HOSPITAL_SYSTEM,CT depth; Hartford HealthCare core,NEW,hartfordhospital.org,MEDIUM,US_MD_DO,UConn SOM affiliate,P1_AMC_GAP,"hartford hospital visiting medical student elective",guaranteed,
76,Yale-New Haven St Raphael Campus,New Haven,CT,SYSTEM_SIBLING_EXPANSION,Yale sibling,NEW,ynhh.org/saint-raphael,LOW_TO_MEDIUM,US_MD_DO,Yale SOM affiliate,P2_SIBLING_EXPANSION,"yale st raphael visiting medical student",guaranteed,
77,University of Florida Health Shands Hospital,Gainesville,FL,ACADEMIC_MEDICAL_CENTER,UF SOM AMC; FL depth,NEW,ufhealth.org,HIGH,MIXED,UF SOM affiliate,P0_AMC_GAP,"UF health shands visiting medical student elective",guaranteed,
78,University of Miami Miller SOM / UHealth,Miami,FL,ACADEMIC_MEDICAL_CENTER,UM Miller SOM AMC; FL depth,NEW,umiamihealth.org,HIGH,MIXED,UM Miller SOM affiliate,P0_AMC_GAP,"UM miller visiting medical student elective international",guaranteed,
79,Tampa General Hospital,Tampa,FL,ACADEMIC_MEDICAL_CENTER,USF Morsani affiliate; FL depth,NEW,tgh.org,MEDIUM_HIGH,MIXED,USF Morsani affiliate,P1_AMC_GAP,"tampa general visiting medical student elective",guaranteed,
80,AdventHealth Orlando,Orlando,FL,ACADEMIC_MEDICAL_CENTER,FL depth; large system,NEW,adventhealth.com,MEDIUM,US_MD_DO,Faith-based system,P1_AMC_GAP,"adventhealth orlando visiting medical student",guaranteed,
81,Memorial Healthcare System - Memorial Regional Hospital,Hollywood,FL,PUBLIC_HOSPITAL_SYSTEM,FL safety-net; Broward depth,NEW,mhs.net,MEDIUM,US_MD_DO,Public health system,P1_PUBLIC_SAFETY_NET,"memorial regional hollywood visiting medical student",guaranteed,
82,Orlando Health Orlando Regional Medical Center,Orlando,FL,SYSTEM_SIBLING_EXPANSION,FL depth; major Orlando hospital,NEW,orlandohealth.com,MEDIUM,US_MD_DO,Orlando Health system,P2_SIBLING_EXPANSION,"orlando health regional visiting medical student",guaranteed,
83,Texas Children's Hospital,Houston,TX,ACADEMIC_MEDICAL_CENTER,Pediatric AMC; Baylor affiliate,NEW,texaschildrens.org,MEDIUM_HIGH,MIXED,Baylor COM affiliate,P1_AMC_GAP,"texas children's visiting medical student elective",guaranteed,
84,Houston Methodist Hospital,Houston,TX,ACADEMIC_MEDICAL_CENTER,TX depth; Weill Cornell-affiliate research,NEW,houstonmethodist.org,HIGH,MIXED,Weill Cornell + multiple SOM affiliates,P0_AMC_GAP,"houston methodist visiting medical student elective",guaranteed,
85,Memorial Hermann-Texas Medical Center,Houston,TX,ACADEMIC_MEDICAL_CENTER,TX depth; UTHealth Houston affiliate,NEW,memorialhermann.org,MEDIUM_HIGH,MIXED,UTHealth Houston affiliate,P1_AMC_GAP,"memorial hermann TMC visiting medical student elective",guaranteed,
86,Baylor University Medical Center,Dallas,TX,ACADEMIC_MEDICAL_CENTER,TX depth; Baylor Scott and White system,NEW,bswhealth.com,MEDIUM_HIGH,MIXED,Baylor Scott and White,P1_AMC_GAP,"baylor university medical center dallas visiting medical student",guaranteed,
87,UT Southwestern University Hospital - Clements Hospital,Dallas,TX,ACADEMIC_MEDICAL_CENTER,UTSW SOM AMC,NEW,utswmed.org,HIGH,MIXED,UT Southwestern SOM affiliate,P0_AMC_GAP,"UT southwestern visiting medical student elective international",guaranteed,
88,University Medical Center New Orleans,New Orleans,LA,PUBLIC_HOSPITAL_SYSTEM,LA depth; LSU + Tulane rotation site,NEW,umcno.org,MEDIUM,MIXED,LSU + Tulane SOM affiliates,P1_PUBLIC_SAFETY_NET,"UMC new orleans visiting medical student elective",guaranteed,
89,Ochsner Medical Center,New Orleans,LA,ACADEMIC_MEDICAL_CENTER,LA depth; Ochsner network,NEW,ochsner.org,MEDIUM,US_MD_DO,Ochsner system,P1_AMC_GAP,"ochsner visiting medical student elective",guaranteed,
90,Augusta University Medical Center / Medical College of Georgia,Augusta,GA,ACADEMIC_MEDICAL_CENTER,GA depth; MCG AMC,NEW,augustahealth.org,MEDIUM,MIXED,MCG SOM affiliate,P1_AMC_GAP,"augusta university MCG visiting medical student elective",guaranteed,
91,Cleveland Clinic Florida,Weston,FL,SYSTEM_SIBLING_EXPANSION,CCF FL sibling of active CCF Mercy + Hillcrest,NEW,my.clevelandclinic.org/locations/florida,MEDIUM,MIXED,CCF system,P1_SIBLING_EXPANSION,"cleveland clinic florida visiting medical student elective",guaranteed,
92,Cleveland Clinic Akron General,Akron,OH,SYSTEM_SIBLING_EXPANSION,CCF system sibling; OH depth,NEW,my.clevelandclinic.org/locations/akron-general,MEDIUM,MIXED,CCF system,P1_SIBLING_EXPANSION,"cleveland clinic akron visiting medical student",guaranteed,
93,Atrium Health Carolinas Medical Center,Charlotte,NC,ACADEMIC_MEDICAL_CENTER,NC depth; Atrium core,NEW,atriumhealth.org,MEDIUM,US_MD_DO,Atrium system,P1_AMC_GAP,"atrium carolinas medical center visiting medical student",guaranteed,
94,Wake Forest Baptist Medical Center,Winston-Salem,NC,ACADEMIC_MEDICAL_CENTER,NC depth; WFSOM AMC,NEW,wakehealth.edu,MEDIUM_HIGH,MIXED,Wake Forest SOM affiliate,P1_AMC_GAP,"wake forest baptist visiting medical student elective",guaranteed,
95,East Carolina University Health - ECU Health Medical Center,Greenville,NC,ACADEMIC_MEDICAL_CENTER,NC depth; ECU Brody SOM,NEW,ecuhealth.org,LOW_TO_MEDIUM,US_MD_DO,Brody SOM affiliate,P2_AMC_GAP,"ECU brody visiting medical student elective",guaranteed,
96,University of Kentucky HealthCare Albert B Chandler Hospital,Lexington,KY,ACADEMIC_MEDICAL_CENTER,KY depth; UK COM AMC,NEW,ukhealthcare.uky.edu,MEDIUM,MIXED,UK COM affiliate,P1_AMC_GAP,"UK chandler visiting medical student elective",guaranteed,
97,University of Louisville Hospital,Louisville,KY,ACADEMIC_MEDICAL_CENTER,KY depth; UofL SOM AMC,NEW,uoflhealth.org,MEDIUM,MIXED,UofL SOM affiliate,P1_AMC_GAP,"university of louisville hospital visiting medical student elective",guaranteed,
98,Charleston Area Medical Center,Charleston,WV,ACADEMIC_MEDICAL_CENTER,WV depth; CAMC core,NEW,camc.org,LOW_TO_MEDIUM,US_MD_DO,WVU + Marshall affiliate,P1_AMC_GAP,"CAMC visiting medical student elective",guaranteed,
99,WVU Medicine - JW Ruby Memorial Hospital,Morgantown,WV,ACADEMIC_MEDICAL_CENTER,WV depth; WVU SOM core,NEW,wvumedicine.org,MEDIUM,MIXED,WVU SOM affiliate,P1_AMC_GAP,"WVU ruby memorial visiting medical student",guaranteed,
100,Marshall University Joan C Edwards SOM Affiliated Hospitals,Huntington,WV,MEDICAL_SCHOOL_UME,WV depth; Marshall SOM index,NEW,jcesom.marshall.edu,LOW_TO_MEDIUM,MIXED,Marshall SOM affiliate index,P2_AMC_GAP,"marshall edwards visiting medical student elective",guaranteed,
