session_rank,queue_4_rank,institution_name,city,state,candidate_type,source_lead,official_pages_checked,required_terms_checked,best_official_source_url,best_source_title,source_scope,opportunity_type,audience,application_method,visa_language,cost_language,contact_or_coordinator,source_quote_short,evidence_strength,outcome,public_copy_risk,bridge_readiness,stop_condition,notes
1,1,Providence Alaska Medical Center,Anchorage,AK,STATE_GAP_FILL,https://www.providence.org/locations/ak/providence-alaska-medical-center,https://www.providence.org/locations/ak/providence-alaska-medical-center -> 404 | https://www.providence.org/locations/ak/providence-alaska-medical-center/medical-education -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
2,2,Alaska Native Medical Center,Anchorage,AK,STATE_GAP_FILL,https://anmc.org/,https://anmc.org/ -> 200,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,https://anmc.org/,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,LOW,NOT_READY,no_visiting_ms_program_documented,
3,3,Saint Alphonsus Regional Medical Center,Boise,ID,STATE_GAP_FILL,https://www.saintalphonsus.org/,https://www.saintalphonsus.org/ -> 200,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,https://www.saintalphonsus.org/,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,fee mentioned,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,LOW,NOT_READY,no_visiting_ms_program_documented,
4,5,Billings Clinic,Billings,MT,STATE_GAP_FILL,https://www.billingsclinic.com/,https://www.billingsclinic.com/ -> 403 | https://www.billingsclinic.com/medical-education/ -> 403,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,BLOCKED_LOGIN_OR_CAPTCHA,UNKNOWN,NOT_READY,blocked_or_captcha,
5,7,Wyoming Medical Center,Casper,WY,STATE_GAP_FILL,https://www.banneruwmedicine.org/locations/casper/banner-wyoming-medical-center,https://www.banneruwmedicine.org/locations/casper/banner-wyoming-medical-center -> -1 | https://www.wyomingmedicalcenter.org/ -> -1,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
6,17,Oregon Health and Science University Hospital,Portland,OR,STATE_GAP_FILL_THIN_AMC,https://www.ohsu.edu/school-of-medicine/visiting-medical-students,https://www.ohsu.edu/school-of-medicine/visiting-medical-students -> 404 | https://www.ohsu.edu/school-of-medicine/md-program/visiting-medical-students -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
7,22,University of Utah Hospital,Salt Lake City,UT,STATE_GAP_FILL_THIN_AMC,https://medicine.utah.edu/students/visiting-students,https://medicine.utah.edu/students/visiting-students -> 404 | https://medicine.utah.edu/students/programs/md/visiting-students -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
8,23,UCHealth University of Colorado Hospital,Aurora,CO,STATE_GAP_FILL_THIN_AMC,https://medschool.cuanschutz.edu/student-affairs/visiting-students,https://medschool.cuanschutz.edu/student-affairs/visiting-students -> 404 | https://medschool.cuanschutz.edu/student-affairs/programs/visiting-students -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
9,24,Denver Health Medical Center,Denver,CO,STATE_GAP_FILL_THIN_PUBLIC,https://denverhealth.org/,https://denverhealth.org/ -> 200,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,https://denverhealth.org/,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,NO_RELEVANT_PUBLIC_SOURCE_FOUND,
10,31,UCSF Medical Center,San Francisco,CA,ACADEMIC_MEDICAL_CENTER,https://meded.ucsf.edu/visiting-medical-students,https://meded.ucsf.edu/visiting-medical-students -> 404 | https://medschool.ucsf.edu/visiting-medical-students -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
11,32,UCLA Ronald Reagan Medical Center,Los Angeles,CA,ACADEMIC_MEDICAL_CENTER,https://medschool.ucla.edu/education/visiting-medical-students,https://medschool.ucla.edu/education/visiting-medical-students -> 404 | https://medschool.ucla.edu/visiting-medical-students -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
12,35,Stanford Health Care,Stanford,CA,ACADEMIC_MEDICAL_CENTER,https://med.stanford.edu/md/student-affairs/visiting-student-program.html,https://med.stanford.edu/md/student-affairs/visiting-student-program.html -> 404 | https://med.stanford.edu/md/student-affairs/visiting-student-program -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
13,37,Vanderbilt University Medical Center,Nashville,TN,ACADEMIC_MEDICAL_CENTER,https://medschool.vanderbilt.edu/student-affairs/visiting-students,https://medschool.vanderbilt.edu/student-affairs/visiting-students -> 200,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,https://medschool.vanderbilt.edu/student-affairs/visiting-students,,SCHOOL_LEVEL,VISITING_MEDICAL_STUDENT_ELECTIVE,INTERNATIONAL_ACCEPTED_EXPLICIT,VSLO,not_stated,fee mentioned,,s Undergraduate Research Graduate School Research VUMC Research Campus Life Housing & Dining Organizations & Identity Centers Athletics Our Hometown - Nashville News & Events Vanderbilt News Research News Vanderbilt Magazine Events Alumni Students Giving VUMC Visiting Medical Stu,TIER_A,BRIDGE_READY_CANDIDATE,LOW,READY_FOR_CURATOR_REVIEW,evidence_triple_pending_PNG_and_quote_capture,
14,38,Barnes-Jewish Hospital / Washington University,Saint Louis,MO,ACADEMIC_MEDICAL_CENTER,https://medicine.wustl.edu/visiting-students,https://medicine.wustl.edu/visiting-students -> 404 | https://medicine.wustl.edu/education/visiting-students -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
15,40,Michigan Medicine - University Hospital,Ann Arbor,MI,ACADEMIC_MEDICAL_CENTER,https://medicine.umich.edu/medschool/education/md-program/visiting-students,https://medicine.umich.edu/medschool/education/md-program/visiting-students -> 403 | https://medicine.umich.edu/medschool/education/visiting-students -> 403,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,BLOCKED_LOGIN_OR_CAPTCHA,UNKNOWN,NOT_READY,blocked_or_captcha,
16,49,Brigham and Womens Hospital,Boston,MA,ACADEMIC_MEDICAL_CENTER,https://meded.hms.harvard.edu/visiting-students,https://meded.hms.harvard.edu/visiting-students -> 200,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,https://meded.hms.harvard.edu/visiting-students,,SCHOOL_LEVEL,UNKNOWN,US_MD_DO_ONLY,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,NO_RELEVANT_PUBLIC_SOURCE_FOUND,
17,50,Massachusetts General Hospital,Boston,MA,ACADEMIC_MEDICAL_CENTER,https://meded.hms.harvard.edu/visiting-students,https://meded.hms.harvard.edu/visiting-students -> 200,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,https://meded.hms.harvard.edu/visiting-students,,SCHOOL_LEVEL,UNKNOWN,US_MD_DO_ONLY,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,NO_RELEVANT_PUBLIC_SOURCE_FOUND,
18,72,Memorial Sloan Kettering Cancer Center,New York,NY,ACADEMIC_MEDICAL_CENTER,https://www.mskcc.org/education/medical-students/visiting-students,https://www.mskcc.org/education/medical-students/visiting-students -> 404 | https://www.mskcc.org/education/medical-students -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
19,77,University of Florida Health Shands Hospital,Gainesville,FL,ACADEMIC_MEDICAL_CENTER,https://com-registrar.med.ufl.edu/visiting-medical-students/,https://com-registrar.med.ufl.edu/visiting-medical-students/ -> -1 | https://med.ufl.edu/registrar/visiting-medical-students -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
20,84,Houston Methodist Hospital,Houston,TX,ACADEMIC_MEDICAL_CENTER,https://www.houstonmethodist.org/education/medical-students/,https://www.houstonmethodist.org/education/medical-students/ -> 404 | https://www.houstonmethodist.org/education/visiting-medical-students/ -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
21,87,UT Southwestern University Hospital - Clements Hospital,Dallas,TX,ACADEMIC_MEDICAL_CENTER,https://www.utsouthwestern.edu/education/medical-school/visiting-students/,https://www.utsouthwestern.edu/education/medical-school/visiting-students/ -> 404 | https://www.utsouthwestern.edu/education/medical-school/visiting-students -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
22,43,Bellevue Hospital - NYC H+H,New York,NY,PUBLIC_HOSPITAL_SYSTEM,https://www.nychealthandhospitals.org/bellevue/,https://www.nychealthandhospitals.org/bellevue/ -> 200 | https://www.nychealthandhospitals.org/mosaic/visiting-scholars-program/ -> 200,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,BLOCKED_LOGIN_OR_CAPTCHA,UNKNOWN,NOT_READY,blocked_or_captcha,
23,44,LAC+USC Medical Center,Los Angeles,CA,PUBLIC_HOSPITAL_SYSTEM,https://keck.usc.edu/education/visiting-students/,https://keck.usc.edu/education/visiting-students/ -> 404 | https://keck.usc.edu/education/visiting-students -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
24,46,Parkland Health,Dallas,TX,PUBLIC_HOSPITAL_SYSTEM,https://www.utsouthwestern.edu/education/medical-school/visiting-students/,https://www.utsouthwestern.edu/education/medical-school/visiting-students/ -> 404 | https://parklandhealth.org/ -> -1,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
25,47,Harborview Medical Center,Seattle,WA,PUBLIC_HOSPITAL_SYSTEM,https://www.uwmedicine.org/education/md/visiting-students,https://www.uwmedicine.org/education/md/visiting-students -> 403 | https://education.uwmedicine.org/visiting-students -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,BLOCKED_LOGIN_OR_CAPTCHA,UNKNOWN,NOT_READY,blocked_or_captcha,
